fid,id,left,top,right,bottom,row_index,col_index,area_km2,fid_count,area_m2_sum,density,area_m2_mean,area_m2_max,area_m2_stddev,UMAP1,UMAP2,Cluster
181,626,743540.6993,2560188.0052,744540.6993,2559188.0052,25,20,0.215,,,0.0,,,,-16.505207,0.079020396,1
182,633,744540.6993,2583188.0052,745540.6993,2582188.0052,2,21,0.387,32.0,6708.458,0.017,209.639313,940.118,210.286132,6.1315136,10.720055,0
183,634,744540.6993,2582188.0052,745540.6993,2581188.0052,3,21,0.999,95.0,27324.715,0.027,287.628579,2256.782,516.861853,6.828384,8.646017,0
184,635,744540.6993,2581188.0052,745540.6993,2580188.0052,4,21,0.999,24.0,3112.367,0.003,129.681958,764.698,171.086348,6.680632,12.793958,4
185,636,744540.6993,2580188.0052,745540.6993,2579188.0052,5,21,0.999,883.0,169577.778,0.17,192.047314,4036.448,254.888676,12.494854,5.1576915,2
186,637,744540.6993,2579188.0052,745540.6993,2578188.0052,6,21,0.999,1771.0,385714.432,0.386,217.79471,2712.64,244.793949,12.606418,3.2433455,2
187,638,744540.6993,2578188.0052,745540.6993,2577188.0052,7,21,0.999,1194.0,376244.494,0.377,315.112642,3376.716,395.031463,12.38684,3.0698109,2
188,639,744540.6993,2577188.0052,745540.6993,2576188.0052,8,21,0.999,728.0,258246.402,0.259,354.734069,7122.601,546.229686,11.003547,4.9413333,2
189,640,744540.6993,2576188.0052,745540.6993,2575188.0052,9,21,0.999,1539.0,483071.917,0.484,313.886886,4859.96,453.370896,12.422925,2.9162438,2
190,641,744540.6993,2575188.0052,745540.6993,2574188.0052,10,21,0.999,920.0,442432.338,0.443,480.904715,10744.437,956.243174,11.989608,2.4284148,2
191,642,744540.6993,2574188.0052,745540.6993,2573188.0052,11,21,0.999,373.0,209115.179,0.209,560.630507,10744.437,1175.728626,9.707498,5.4256682,5
192,643,744540.6993,2573188.0052,745540.6993,2572188.0052,12,21,0.999,788.0,193998.436,0.194,246.190909,3581.882,383.716378,12.328639,5.053307,2
193,644,744540.6993,2572188.0052,745540.6993,2571188.0052,13,21,0.999,941.0,261223.743,0.261,277.602277,10671.275,552.09373,10.978365,4.949707,2
194,645,744540.6993,2571188.0052,745540.6993,2570188.0052,14,21,0.999,880.0,202797.242,0.203,230.451411,2749.714,288.74952,12.405805,4.976712,2
195,646,744540.6993,2570188.0052,745540.6993,2569188.0052,15,21,0.999,1021.0,361298.866,0.362,353.867645,6205.306,485.51952,12.089765,3.0080993,2
196,647,744540.6993,2569188.0052,745540.6993,2568188.0052,16,21,0.999,852.0,258893.567,0.259,303.865689,2566.483,359.487345,12.172521,4.483361,2
197,648,744540.6993,2568188.0052,745540.6993,2567188.0052,17,21,0.999,5.0,437.028,0.0,87.4056,226.343,76.290734,6.5961356,15.184813,4
198,649,744540.6993,2567188.0052,745540.6993,2566188.0052,18,21,0.999,18.0,2362.596,0.002,131.255333,445.596,128.62175,6.406495,13.358784,4
199,650,744540.6993,2566188.0052,745540.6993,2565188.0052,19,21,0.999,14.0,2393.7,0.002,170.978571,561.148,177.650873,6.185419,12.469477,4
200,651,744540.6993,2565188.0052,745540.6993,2564188.0052,20,21,0.999,4.0,102.786,0.0,25.6965,32.928,6.270627,6.2580714,16.594849,4
201,652,744540.6993,2564188.0052,745540.6993,2563188.0052,21,21,0.999,48.0,4764.566,0.005,99.261792,506.191,89.01022,7.0297575,14.388987,4
202,653,744540.6993,2563188.0052,745540.6993,2562188.0052,22,21,0.999,116.0,20106.431,0.02,173.331302,4565.162,424.242041,7.3808184,10.293034,0
203,654,744540.6993,2562188.0052,745540.6993,2561188.0052,23,21,0.999,29.0,2790.946,0.003,96.239517,381.717,93.093566,6.8069954,14.527464,4
204,655,744540.6993,2561188.0052,745540.6993,2560188.0052,24,21,0.999,3.0,210.448,0.0,70.149333,78.784,11.772086,6.4660697,15.950539,4
205,656,744540.6993,2560188.0052,745540.6993,2559188.0052,25,21,0.139,,,0.0,,,,-16.639357,0.11199146,1
206,663,745540.6993,2583188.0052,746540.6993,2582188.0052,2,22,0.705,99.0,23901.298,0.034,241.427253,5716.873,660.050801,9.111149,7.6525774,5
207,664,745540.6993,2582188.0052,746540.6993,2581188.0052,3,22,0.999,283.0,75586.504,0.076,267.09012,3079.63,365.580998,9.466376,8.960216,3
208,665,745540.6993,2581188.0052,746540.6993,2580188.0052,4,22,0.999,397.0,83605.55,0.084,210.593325,3079.63,298.876251,10.170224,9.821081,3
209,666,745540.6993,2580188.0052,746540.6993,2579188.0052,5,22,0.999,595.0,175361.455,0.176,294.725134,3350.454,395.440864,12.024234,6.9242344,5
210,667,745540.6993,2579188.0052,746540.6993,2578188.0052,6,22,0.999,1396.0,494513.344,0.495,354.23592,3061.962,390.050651,12.387518,2.889026,2
211,668,745540.6993,2578188.0052,746540.6993,2577188.0052,7,22,0.999,941.0,310283.289,0.311,329.73782,4217.987,452.128105,11.904155,3.3729033,2
212,669,745540.6993,2577188.0052,746540.6993,2576188.0052,8,22,0.999,700.0,304958.891,0.305,435.655559,7122.601,638.171917,10.627239,4.650073,2
213,670,745540.6993,2576188.0052,746540.6993,2575188.0052,9,22,0.999,934.0,479461.23,0.48,513.341788,6378.832,643.126826,11.953391,2.3952205,2
214,671,745540.6993,2575188.0052,746540.6993,2574188.0052,10,22,0.999,710.0,530974.225,0.532,747.851021,11564.124,1350.641571,11.929106,2.5011902,2
215,672,745540.6993,2574188.0052,746540.6993,2573188.0052,11,22,0.999,640.0,497606.058,0.498,777.509466,11984.87,1295.295173,11.860128,2.4326491,2
216,673,745540.6993,2573188.0052,746540.6993,2572188.0052,12,22,0.999,410.0,117111.141,0.117,285.636929,10671.275,654.899565,10.103869,6.371025,5
217,674,745540.6993,2572188.0052,746540.6993,2571188.0052,13,22,0.999,697.0,240146.451,0.24,344.542971,10671.275,740.701073,10.591934,5.2288675,2
218,675,745540.6993,2571188.0052,746540.6993,2570188.0052,14,22,0.999,863.0,204617.074,0.205,237.099738,4288.388,341.185189,12.317935,4.996446,2
219,676,745540.6993,2570188.0052,746540.6993,2569188.0052,15,22,0.999,598.0,230186.309,0.23,384.926938,17428.337,1006.071839,9.930608,5.246042,5
220,677,745540.6993,2569188.0052,746540.6993,2568188.0052,16,22,0.999,63.0,45812.971,0.046,727.190016,4769.532,1286.833137,8.581695,6.089241,5
221,678,745540.6993,2568188.0052,746540.6993,2567188.0052,17,22,0.999,11.0,5160.239,0.005,469.112636,2518.566,788.468466,7.7722898,6.9052596,5
222,679,745540.6993,2567188.0052,746540.6993,2566188.0052,18,22,0.999,81.0,18684.194,0.019,230.669062,1810.117,374.228423,6.544278,9.946655,0
223,680,745540.6993,2566188.0052,746540.6993,2565188.0052,19,22,0.999,181.0,61908.88,0.062,342.038011,3192.226,525.873859,8.685156,8.097678,5
224,681,745540.6993,2565188.0052,746540.6993,2564188.0052,20,22,0.999,327.0,52047.564,0.052,159.166862,1855.287,193.164723,9.537042,11.168448,3
225,682,745540.6993,2564188.0052,746540.6993,2563188.0052,21,22,0.999,105.0,18028.447,0.018,171.699495,3611.344,381.182771,7.31724,10.333542,0
226,683,745540.6993,2563188.0052,746540.6993,2562188.0052,22,22,0.999,108.0,28900.707,0.029,267.599139,4565.162,647.979265,8.975214,7.653551,5
227,684,745540.6993,2562188.0052,746540.6993,2561188.0052,23,22,0.999,50.0,25393.329,0.025,507.86658,2635.382,643.540578,7.739601,7.0441084,5
228,685,745540.6993,2561188.0052,746540.6993,2560188.0052,24,22,0.999,23.0,6927.805,0.007,301.208913,1055.956,301.528609,6.1064777,9.749219,0
229,686,745540.6993,2560188.0052,746540.6993,2559188.0052,25,22,0.432,,,0.0,,,,-16.788013,-0.10850555,1
230,693,746540.6993,2583188.0052,747540.6993,2582188.0052,2,23,0.1,2.0,330.27,0.003,165.135,265.175,100.04,6.0699253,13.1306925,4
231,694,746540.6993,2582188.0052,747540.6993,2581188.0052,3,23,0.457,12.0,922.845,0.002,76.90375,290.997,82.46922,6.618817,15.195325,4
232,695,746540.6993,2581188.0052,747540.6993,2580188.0052,4,23,0.666,137.0,53890.644,0.081,393.362365,4042.151,613.312652,8.327925,7.6735754,5
233,696,746540.6993,2580188.0052,747540.6993,2579188.0052,5,23,0.999,494.0,167010.148,0.167,338.077223,5236.617,525.35561,11.086057,6.7009745,5
234,697,746540.6993,2579188.0052,747540.6993,2578188.0052,6,23,0.999,664.0,178872.316,0.179,269.386018,2735.102,359.273031,12.147181,6.7740297,5
235,698,746540.6993,2578188.0052,747540.6993,2577188.0052,7,23,0.999,1461.0,402673.651,0.403,275.615093,4398.325,351.199323,12.519396,3.1037607,2
236,699,746540.6993,2577188.0052,747540.6993,2576188.0052,8,23,0.999,996.0,335722.926,0.336,337.071211,4539.595,457.980127,11.961724,3.2413702,2
237,700,746540.6993,2576188.0052,747540.6993,2575188.0052,9,23,0.999,899.0,252401.081,0.253,280.757598,7179.275,428.624307,11.275654,4.876498,2
238,701,746540.6993,2575188.0052,747540.6993,2574188.0052,10,23,0.999,1054.0,414024.44,0.414,392.812562,6833.411,535.749844,12.137647,2.7009976,2
239,702,746540.6993,2574188.0052,747540.6993,2573188.0052,11,23,0.999,1016.0,416453.94,0.417,409.89561,6031.393,619.635868,12.0914135,2.641332,2
240,703,746540.6993,2573188.0052,747540.6993,2572188.0052,12,23,0.999,693.0,194728.421,0.195,280.993392,7821.119,483.809635,11.093089,5.688084,5
241,704,746540.6993,2572188.0052,747540.6993,2571188.0052,13,23,0.999,497.0,193069.95,0.193,388.470724,12964.605,1224.994179,9.802548,5.3983717,5
242,705,746540.6993,2571188.0052,747540.6993,2570188.0052,14,23,0.999,1015.0,215191.825,0.215,212.01165,10233.95,445.966851,11.082936,5.1057253,2
243,706,746540.6993,2570188.0052,747540.6993,2569188.0052,15,23,0.999,893.0,214725.625,0.215,240.454227,17428.337,783.129612,10.135009,5.181927,5
244,707,746540.6993,2569188.0052,747540.6993,2568188.0052,16,23,0.999,524.0,192672.96,0.193,367.696489,6199.268,522.05004,11.222257,6.414983,5
245,708,746540.6993,2568188.0052,747540.6993,2567188.0052,17,23,0.999,544.0,201270.254,0.201,369.982085,3431.098,423.945017,11.793739,6.708575,5
246,709,746540.6993,2567188.0052,747540.6993,2566188.0052,18,23,0.999,336.0,198332.285,0.199,590.274658,14277.241,1147.933556,9.683498,5.4980764,5
247,710,746540.6993,2566188.0052,747540.6993,2565188.0052,19,23,0.999,858.0,355445.763,0.356,414.272451,3492.042,455.550805,11.770534,3.35117,2
248,711,746540.6993,2565188.0052,747540.6993,2564188.0052,20,23,0.999,646.0,177718.742,0.178,275.106412,2674.169,322.4801,12.1069145,6.8808146,5
249,712,746540.6993,2564188.0052,747540.6993,2563188.0052,21,23,0.999,1011.0,263463.512,0.264,260.596946,2435.093,302.075367,12.416034,4.235185,2
250,713,746540.6993,2563188.0052,747540.6993,2562188.0052,22,23,0.999,927.0,163528.336,0.164,176.405972,3399.092,235.007612,12.548313,5.133164,2
251,714,746540.6993,2562188.0052,747540.6993,2561188.0052,23,23,0.999,215.0,64374.946,0.064,299.418353,6582.451,579.680424,9.314104,7.7077503,5
252,715,746540.6993,2561188.0052,747540.6993,2560188.0052,24,23,0.999,38.0,11982.819,0.012,315.337342,1989.452,480.291188,6.8229556,8.528927,0
253,716,746540.6993,2560188.0052,747540.6993,2559188.0052,25,23,0.979,,,0.0,,,,-17.099932,0.16795754,1
254,717,746540.6993,2559188.0052,747540.6993,2558188.0052,26,23,0.134,,,0.0,,,,-16.99851,0.014731063,1
255,725,747540.6993,2581188.0052,748540.6993,2580188.0052,4,24,0.302,17.0,2197.592,0.007,129.270118,692.109,153.512399,6.5753193,12.894531,4
256,726,747540.6993,2580188.0052,748540.6993,2579188.0052,5,24,0.999,279.0,119167.355,0.119,427.123136,11264.608,887.695347,9.885345,6.125993,5
257,727,747540.6993,2579188.0052,748540.6993,2578188.0052,6,24,0.999,715.0,233327.607,0.234,326.332317,7701.643,568.675398,11.011795,5.2342653,2
258,728,747540.6993,2578188.0052,748540.6993,2577188.0052,7,24,0.999,737.0,307377.988,0.308,417.066469,9986.267,660.136603,10.5810175,4.7881217,2
259,729,747540.6993,2577188.0052,748540.6993,2576188.0052,8,24,0.999,442.0,209132.374,0.209,473.150167,10484.019,1020.8124,9.837373,5.4070487,5
260,730,747540.6993,2576188.0052,748540.6993,2575188.0052,9,24,0.999,807.0,301108.891,0.301,373.121302,7394.92,632.232678,10.768113,4.6331363,2
261,731,747540.6993,2575188.0052,748540.6993,2574188.0052,10,24,0.999,912.0,502345.391,0.503,550.817315,7765.067,663.735808,11.943117,2.3523064,2
262,732,747540.6993,2574188.0052,748540.6993,2573188.0052,11,24,0.999,1116.0,530345.143,0.531,475.219662,6992.61,651.821602,11.949535,2.3648696,2
263,733,747540.6993,2573188.0052,748540.6993,2572188.0052,12,24,0.999,624.0,213879.148,0.214,342.755045,6298.782,564.491466,11.155839,5.717598,5
264,734,747540.6993,2572188.0052,748540.6993,2571188.0052,13,24,0.999,192.0,139845.919,0.14,728.364161,10819.542,1534.118131,9.146072,5.790139,5
265,735,747540.6993,2571188.0052,748540.6993,2570188.0052,14,24,0.999,867.0,150005.722,0.15,173.01698,2392.485,202.638703,12.542572,5.2139206,2
266,736,747540.6993,2570188.0052,748540.6993,2569188.0052,15,24,0.999,738.0,167829.014,0.168,227.410588,6199.268,413.234704,11.339978,6.180656,5
267,737,747540.6993,2569188.0052,748540.6993,2568188.0052,16,24,0.999,338.0,107831.281,0.108,319.027459,6199.268,548.43818,10.252559,7.258286,5
268,738,747540.6993,2568188.0052,748540.6993,2567188.0052,17,24,0.999,598.0,170932.06,0.171,285.839565,2407.043,325.688944,11.993445,6.983362,5
269,739,747540.6993,2567188.0052,748540.6993,2566188.0052,18,24,0.999,428.0,154957.148,0.155,362.049411,5968.085,486.078644,10.923008,6.887097,5
270,740,747540.6993,2566188.0052,748540.6993,2565188.0052,19,24,0.999,758.0,318539.33,0.319,420.236583,15682.029,696.320717,10.207508,5.0462713,5
271,741,747540.6993,2565188.0052,748540.6993,2564188.0052,20,24,0.999,1009.0,292377.621,0.293,289.769694,2056.972,273.584573,12.452734,4.003579,2
272,742,747540.6993,2564188.0052,748540.6993,2563188.0052,21,24,0.999,1391.0,353263.281,0.354,253.963538,2320.49,284.480228,12.549289,3.2469864,2
273,743,747540.6993,2563188.0052,748540.6993,2562188.0052,22,24,0.999,406.0,113827.306,0.114,280.362823,2157.229,332.854268,10.4524975,9.3849535,3
274,744,747540.6993,2562188.0052,748540.6993,2561188.0052,23,24,0.999,41.0,7510.468,0.008,183.182146,1321.041,282.254702,6.4657016,10.970232,0
275,745,747540.6993,2561188.0052,748540.6993,2560188.0052,24,24,0.999,,,0.0,,,,-16.869598,0.19721039,1
276,746,747540.6993,2560188.0052,748540.6993,2559188.0052,25,24,0.999,,,0.0,,,,-16.890125,-0.40351674,1
277,747,747540.6993,2559188.0052,748540.6993,2558188.0052,26,24,0.916,,,0.0,,,,-16.5051,-0.008095843,1
278,748,747540.6993,2558188.0052,748540.6993,2557188.0052,27,24,0.103,,,0.0,,,,-17.01171,-0.14367235,1
279,754,748540.6993,2582188.0052,749540.6993,2581188.0052,3,25,0.054,,,0.0,,,,-17.14288,0.11669497,1
280,755,748540.6993,2581188.0052,749540.6993,2580188.0052,4,25,0.835,152.0,21641.728,0.026,142.379789,800.328,133.234067,7.849454,12.529502,4
281,756,748540.6993,2580188.0052,749540.6993,2579188.0052,5,25,0.999,309.0,52079.852,0.052,168.54321,1823.819,219.305501,9.5807495,11.02864,3
282,757,748540.6993,2579188.0052,749540.6993,2578188.0052,6,25,0.999,364.0,114703.427,0.115,315.119305,3575.732,446.234671,10.527843,7.9587016,5
283,758,748540.6993,2578188.0052,749540.6993,2577188.0052,7,25,0.999,245.0,73655.463,0.074,300.634543,2938.17,439.856439,9.220463,8.595061,5
284,759,748540.6993,2577188.0052,749540.6993,2576188.0052,8,25,0.999,342.0,77539.145,0.078,226.722646,2938.17,283.76545,9.873639,10.041084,3
285,760,748540.6993,2576188.0052,749540.6993,2575188.0052,9,25,0.999,1031.0,388463.403,0.389,376.783126,4544.365,541.127225,12.141618,2.8727274,2
286,761,748540.6993,2575188.0052,749540.6993,2574188.0052,10,25,0.999,1075.0,501361.79,0.502,466.38306,9699.012,710.843367,12.017734,2.440392,2
287,762,748540.6993,2574188.0052,749540.6993,2573188.0052,11,25,0.999,1085.0,452586.494,0.453,417.130409,7848.96,592.341182,12.057018,2.4746037,2
288,763,748540.6993,2573188.0052,749540.6993,2572188.0052,12,25,0.999,855.0,255531.415,0.256,298.867152,6298.782,568.180209,11.249169,4.8635454,2
289,764,748540.6993,2572188.0052,749540.6993,2571188.0052,13,25,0.999,581.0,293876.071,0.294,505.810793,12426.767,912.485031,10.155275,5.036989,5
290,765,748540.6993,2571188.0052,749540.6993,2570188.0052,14,25,0.999,716.0,233466.35,0.234,326.070321,6582.405,530.556975,11.149426,5.182159,2
291,766,748540.6993,2570188.0052,749540.6993,2569188.0052,15,25,0.999,1227.0,282422.904,0.283,230.173516,2546.299,230.703194,12.644035,3.8504682,2
292,767,748540.6993,2569188.0052,749540.6993,2568188.0052,16,25,0.999,1204.0,309919.36,0.31,257.408106,6379.632,350.065274,12.519749,3.4995925,2
293,768,748540.6993,2568188.0052,749540.6993,2567188.0052,17,25,0.999,1148.0,301403.618,0.302,262.546706,2696.205,272.417701,12.582491,3.8682814,2
294,769,748540.6993,2567188.0052,749540.6993,2566188.0052,18,25,0.999,886.0,323487.836,0.324,365.110424,2789.025,377.024496,11.792613,3.479218,2
295,770,748540.6993,2566188.0052,749540.6993,2565188.0052,19,25,0.999,513.0,222395.064,0.223,433.518643,15682.029,812.414611,9.96751,5.2599597,5
296,771,748540.6993,2565188.0052,749540.6993,2564188.0052,20,25,0.999,368.0,125470.68,0.126,340.952935,3531.183,392.423538,10.672201,7.8438406,5
297,772,748540.6993,2564188.0052,749540.6993,2563188.0052,21,25,0.999,497.0,143159.025,0.143,288.046328,2932.421,397.605016,11.733455,7.213618,5
298,773,748540.6993,2563188.0052,749540.6993,2562188.0052,22,25,0.999,150.0,32239.116,0.032,214.92744,1367.45,273.074171,6.667566,10.37823,0
299,774,748540.6993,2562188.0052,749540.6993,2561188.0052,23,25,0.999,74.0,11603.364,0.012,156.802216,1139.354,188.327848,6.616889,12.111639,4
300,775,748540.6993,2561188.0052,749540.6993,2560188.0052,24,25,0.999,,,0.0,,,,-16.90423,-0.33249772,1
301,776,748540.6993,2560188.0052,749540.6993,2559188.0052,25,25,0.999,,,0.0,,,,-16.47932,-0.0104857385,1
302,777,748540.6993,2559188.0052,749540.6993,2558188.0052,26,25,0.799,,,0.0,,,,-16.767368,0.2897875,1
303,778,748540.6993,2558188.0052,749540.6993,2557188.0052,27,25,0.092,,,0.0,,,,-16.884722,-0.39351103,1
304,784,749540.6993,2582188.0052,750540.6993,2581188.0052,3,26,0.21,7.0,588.068,0.003,84.009714,177.52,45.61966,6.5577736,15.501541,4
305,785,749540.6993,2581188.0052,750540.6993,2580188.0052,4,26,0.994,295.0,25258.269,0.025,85.621251,901.468,92.632439,9.125905,11.905121,3
306,786,749540.6993,2580188.0052,750540.6993,2579188.0052,5,26,0.999,86.0,12860.483,0.013,149.5405,2080.189,250.297021,6.872964,11.234895,0
307,787,749540.6993,2579188.0052,750540.6993,2578188.0052,6,26,0.999,392.0,49512.579,0.05,126.307599,1091.806,134.722349,9.671608,11.662872,3
308,788,749540.6993,2578188.0052,750540.6993,2577188.0052,7,26,0.999,35.0,4424.521,0.004,126.414886,761.406,133.129255,6.604911,12.978335,4
309,789,749540.6993,2577188.0052,750540.6993,2576188.0052,8,26,0.999,334.0,110288.549,0.11,330.205237,3481.278,615.395695,10.316222,7.8258524,5
310,790,749540.6993,2576188.0052,750540.6993,2575188.0052,9,26,0.999,692.0,313932.005,0.314,453.658967,5923.125,737.206901,10.594352,4.550983,2
311,791,749540.6993,2575188.0052,750540.6993,2574188.0052,10,26,0.999,635.0,285491.23,0.286,449.592488,7489.804,727.411033,10.5555935,4.78709,2
312,792,749540.6993,2574188.0052,750540.6993,2573188.0052,11,26,0.999,481.0,162429.714,0.163,337.691713,7489.804,646.945476,10.817928,6.549641,5
313,793,749540.6993,2573188.0052,750540.6993,2572188.0052,12,26,0.999,372.0,68306.26,0.068,183.618978,3292.325,309.389728,9.911455,10.054374,3
314,794,749540.6993,2572188.0052,750540.6993,2571188.0052,13,26,0.999,1213.0,263995.678,0.264,217.638646,2679.261,308.146577,12.612211,3.8830416,2
315,795,749540.6993,2571188.0052,750540.6993,2570188.0052,14,26,0.999,302.0,108329.031,0.108,358.705401,6480.103,741.20801,10.118014,7.2451286,5
316,796,749540.6993,2570188.0052,750540.6993,2569188.0052,15,26,0.999,655.0,158979.501,0.159,242.716795,5981.712,453.989643,11.122329,6.422955,5
317,797,749540.6993,2569188.0052,750540.6993,2568188.0052,16,26,0.999,606.0,210498.236,0.211,347.356825,9185.38,656.4975,10.798359,5.4251404,5
318,798,749540.6993,2568188.0052,750540.6993,2567188.0052,17,26,0.999,613.0,183848.619,0.184,299.916181,3758.744,381.285123,12.011386,6.8393373,5
319,799,749540.6993,2567188.0052,750540.6993,2566188.0052,18,26,0.999,482.0,163633.24,0.164,339.48805,2551.55,371.378371,11.798311,7.0496464,5
320,800,749540.6993,2566188.0052,750540.6993,2565188.0052,19,26,0.999,482.0,179374.15,0.18,372.145539,3075.346,430.3334,11.653486,6.952571,5
321,801,749540.6993,2565188.0052,750540.6993,2564188.0052,20,26,0.999,357.0,146503.537,0.147,410.374053,3747.179,483.206904,10.732809,7.5117636,5
322,802,749540.6993,2564188.0052,750540.6993,2563188.0052,21,26,0.999,356.0,91503.279,0.092,257.031683,3747.179,353.272832,9.947553,9.163616,3
323,803,749540.6993,2563188.0052,750540.6993,2562188.0052,22,26,0.999,108.0,31344.727,0.031,290.228954,1308.825,287.985786,6.257734,9.5826,0
324,804,749540.6993,2562188.0052,750540.6993,2561188.0052,23,26,0.999,64.0,8901.644,0.009,139.088187,925.379,167.159192,6.6612473,12.516589,4
325,805,749540.6993,2561188.0052,750540.6993,2560188.0052,24,26,0.999,,,0.0,,,,-16.752512,-0.2451993,1
326,806,749540.6993,2560188.0052,750540.6993,2559188.0052,25,26,0.999,,,0.0,,,,-16.403637,0.047224216,1
327,807,749540.6993,2559188.0052,750540.6993,2558188.0052,26,26,0.503,,,0.0,,,,-16.496746,0.07010062,1
328,815,750540.6993,2581188.0052,751540.6993,2580188.0052,4,27,0.173,68.0,6145.549,0.036,90.375721,368.983,59.682121,7.5358458,13.856935,4
329,816,750540.6993,2580188.0052,751540.6993,2579188.0052,5,27,0.73,2.0,88.288,0.0,44.144,45.728,1.584,6.297342,16.342627,4
330,817,750540.6993,2579188.0052,751540.6993,2578188.0052,6,27,0.999,13.0,1659.731,0.002,127.671615,351.805,100.304215,6.3779807,13.627708,4
331,818,750540.6993,2578188.0052,751540.6993,2577188.0052,7,27,0.995,23.0,7907.731,0.008,343.814391,2444.458,580.163998,6.988063,8.296029,0
332,819,750540.6993,2577188.0052,751540.6993,2576188.0052,8,27,0.999,260.0,244137.132,0.244,938.988969,4982.111,1092.466049,9.076507,5.869986,5
333,820,750540.6993,2576188.0052,751540.6993,2575188.0052,9,27,0.999,422.0,294363.582,0.295,697.544033,5840.843,965.700587,10.239279,4.814539,2
334,821,750540.6993,2575188.0052,751540.6993,2574188.0052,10,27,0.999,571.0,362305.676,0.363,634.510816,8340.692,1022.469423,10.249395,4.690507,2
335,822,750540.6993,2574188.0052,751540.6993,2573188.0052,11,27,0.999,384.0,209403.027,0.21,545.320383,8340.692,958.96839,9.847692,5.413943,5
336,823,750540.6993,2573188.0052,751540.6993,2572188.0052,12,27,0.999,163.0,115799.831,0.116,710.428411,25282.185,2961.107027,9.3208275,5.457214,5
337,824,750540.6993,2572188.0052,751540.6993,2571188.0052,13,27,0.999,343.0,61004.385,0.061,177.85535,6829.451,419.482593,9.492076,8.35298,5
338,825,750540.6993,2571188.0052,751540.6993,2570188.0052,14,27,0.999,115.0,31529.228,0.032,274.1672,6829.451,693.036096,9.110392,7.5110645,5
339,826,750540.6993,2570188.0052,751540.6993,2569188.0052,15,27,0.999,888.0,218285.435,0.219,245.816931,2433.076,238.868066,12.38488,4.891462,2
340,827,750540.6993,2569188.0052,751540.6993,2568188.0052,16,27,0.999,639.0,260974.23,0.261,408.410376,36758.132,1511.964347,9.637817,5.2860594,5
341,828,750540.6993,2568188.0052,751540.6993,2567188.0052,17,27,0.999,196.0,61307.419,0.061,312.792954,4210.512,496.530903,9.003605,8.185996,5
342,829,750540.6993,2567188.0052,751540.6993,2566188.0052,18,27,0.999,564.0,199594.5,0.2,353.890957,3543.162,436.843094,11.792112,6.651194,5
343,830,750540.6993,2566188.0052,751540.6993,2565188.0052,19,27,0.999,558.0,146895.039,0.147,263.252758,6885.007,529.046842,10.869585,6.5480237,5
344,831,750540.6993,2565188.0052,751540.6993,2564188.0052,20,27,0.999,81.0,14776.364,0.015,182.424247,1519.567,283.130574,6.657282,10.839207,0
345,832,750540.6993,2564188.0052,751540.6993,2563188.0052,21,27,0.999,100.0,40586.396,0.041,405.86396,3747.179,546.677036,7.8607726,7.6924796,5
346,833,750540.6993,2563188.0052,751540.6993,2562188.0052,22,27,0.999,67.0,38514.032,0.039,574.836299,5564.712,843.958017,8.095947,6.6271443,5
347,834,750540.6993,2562188.0052,751540.6993,2561188.0052,23,27,0.999,7.0,921.855,0.001,131.693571,302.496,93.510983,6.2818556,13.597689,4
348,835,750540.6993,2561188.0052,751540.6993,2560188.0052,24,27,0.999,6.0,747.543,0.001,124.5905,176.803,60.587236,6.104465,13.80225,4
349,836,750540.6993,2560188.0052,751540.6993,2559188.0052,25,27,0.999,,,0.0,,,,-17.163681,-0.1104022,1
350,837,750540.6993,2559188.0052,751540.6993,2558188.0052,26,27,0.435,,,0.0,,,,-16.97153,0.039976973,1
351,846,751540.6993,2580188.0052,752540.6993,2579188.0052,5,28,0.025,,,0.0,,,,-16.779608,-0.059914976,1
352,847,751540.6993,2579188.0052,752540.6993,2578188.0052,6,28,0.256,5.0,304.631,0.001,60.9262,89.657,24.684478,6.422573,16.042534,4
353,848,751540.6993,2578188.0052,752540.6993,2577188.0052,7,28,0.702,262.0,50352.664,0.072,192.18574,2783.875,285.016178,9.55779,10.401661,3
354,849,751540.6993,2577188.0052,752540.6993,2576188.0052,8,28,0.999,627.0,199089.823,0.199,317.527628,3051.078,447.123981,11.848625,6.6254473,5
355,850,751540.6993,2576188.0052,752540.6993,2575188.0052,9,28,0.999,883.0,344590.649,0.345,390.249886,3173.666,508.134021,11.808544,3.3627615,2
356,851,751540.6993,2575188.0052,752540.6993,2574188.0052,10,28,0.999,1074.0,444400.458,0.445,413.780687,3844.69,463.390649,12.167813,2.6428993,2
357,852,751540.6993,2574188.0052,752540.6993,2573188.0052,11,28,0.999,672.0,277816.06,0.278,413.416756,6934.76,536.743897,10.783846,4.781834,2
358,853,751540.6993,2573188.0052,752540.6993,2572188.0052,12,28,0.999,285.0,347337.866,0.348,1218.729354,45533.654,4687.070382,9.352437,5.429069,5
359,854,751540.6993,2572188.0052,752540.6993,2571188.0052,13,28,0.999,214.0,99384.263,0.099,464.412444,24079.122,2090.22501,9.413987,5.479946,5
360,855,751540.6993,2571188.0052,752540.6993,2570188.0052,14,28,0.999,384.0,54665.803,0.055,142.358862,1910.037,172.447394,9.659571,11.39024,3
361,856,751540.6993,2570188.0052,752540.6993,2569188.0052,15,28,0.999,827.0,184808.682,0.185,223.468781,2365.801,244.066173,12.45598,5.0859327,2
