id,left,top,right,bottom,row_index,col_index,area_km2,fid_count,fid_sum,id_count,area_m2_co,area_m2_su,DN_count,DN_sum,DN_mean,obf_pct,obf_n,bld_n,wsf_n,UMI,UMI_w
433,737540.699300000094809,2573188.005200000014156,738540.699300000094809,2572188.005200000014156,12,14,0.999,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
434,737540.699300000094809,2572188.005200000014156,738540.699300000094809,2571188.005200000014156,13,14,0.999,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
435,737540.699300000094809,2571188.005200000014156,738540.699300000094809,2570188.005200000014156,14,14,0.247,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
454,738540.699300000094809,2582188.005200000014156,739540.699300000094809,2581188.005200000014156,3,15,0.508,18,1596326.000000,18,18,1546.133000,1,0.000000,0.000000,0.304,0.006,0.010,0.000,0.005,0.006
455,738540.699300000094809,2581188.005200000014156,739540.699300000094809,2580188.005200000014156,4,15,0.944,59,5258662.000000,59,59,15235.130000,21,5100.000000,242.857143,1.614,0.030,0.033,0.977,0.347,0.221
456,738540.699300000094809,2580188.005200000014156,739540.699300000094809,2579188.005200000014156,5,15,0.990,193,17492170.000000,193,193,47487.259000,148,30600.000000,206.756757,4.797,0.090,0.109,0.832,0.344,0.246
457,738540.699300000094809,2579188.005200000014156,739540.699300000094809,2578188.005200000014156,6,15,0.615,176,15774004.000000,176,176,51119.620000,98,11730.000000,119.693878,8.312,0.156,0.099,0.481,0.245,0.198
458,738540.699300000094809,2578188.005200000014156,739540.699300000094809,2577188.005200000014156,7,15,0.970,61,5641388.000000,61,61,6760.669000,59,8925.000000,151.271186,0.697,0.013,0.034,0.608,0.218,0.140
459,738540.699300000094809,2577188.005200000014156,739540.699300000094809,2576188.005200000014156,8,15,0.999,356,33190296.000000,356,356,100001.049000,101,11220.000000,111.089109,10.010,0.188,0.201,0.447,0.279,0.245
460,738540.699300000094809,2576188.005200000014156,739540.699300000094809,2575188.005200000014156,9,15,0.999,1207,110977538.000000,1207,1207,399124.623000,370,19890.000000,53.756757,39.952,0.752,0.682,0.216,0.550,0.617
461,738540.699300000094809,2575188.005200000014156,739540.699300000094809,2574188.005200000014156,10,15,0.999,816,75830793.000000,816,816,278664.192000,272,5865.000000,21.562500,27.894,0.525,0.461,0.087,0.358,0.412
462,738540.699300000094809,2574188.005200000014156,739540.699300000094809,2573188.005200000014156,11,15,0.999,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
463,738540.699300000094809,2573188.005200000014156,739540.699300000094809,2572188.005200000014156,12,15,0.999,,,,,,1,0.000000,0.000000,0.000,0.000,,0.000,,
464,738540.699300000094809,2572188.005200000014156,739540.699300000094809,2571188.005200000014156,13,15,0.999,1,74019.000000,1,1,88.347000,1,0.000000,0.000000,0.009,0.000,0.001,0.000,0.000,0.000
465,738540.699300000094809,2571188.005200000014156,739540.699300000094809,2570188.005200000014156,14,15,0.837,121,11149736.000000,121,121,19940.310000,22,4335.000000,197.045455,2.382,0.045,0.068,0.793,0.302,0.204
